Venue_ID,Rating,Likes,CheckIns,Price,Tips
58a8dcaa6119f47b9a94dc05,6.8,6,,1.0,1
4c729f4aad69b60c81ee83b9,,1,,2.0,2
4b8991cbf964a520814232e3,8.8,18,,2.0,16
4c0150f4716bc9b65b9dbb55,,1,,1.0,4
4e6696b6d16433b9ffff47c3,,0,,1.0,0
4d689350b6f46dcb77ee15b2,,0,,3.0,0
4f3ecce6e4b0587016b6f30d,6.0,5,,2.0,12
51c1d125498ef8fda0942e6c,,0,,2.0,0
5e3618557bde930007d18b8d,,1,,2.0,0
5cd60624b9b37b002c47e8e3,,3,,2.0,0
4bc8face68f976b085795c83,,3,,2.0,0
4ba8d6fcf964a52030f339e3,,2,,2.0,1
4f73a473e4b0c1f445d21c78,,0,,1.0,0
5d40c02d4d622500079755c3,,0,,1.0,0
4edd0c76f9abeea3dcc7a098,,0,,2.0,2
5ab3d9f875a6ea3a7ddc4d2b,6.3,0,,2.0,0
59271fe29e0d541270c19984,,0,,2.0,0
59a86be58d1070397a5101be,,1,,2.0,0
5b8e76de419a9e002c2911d2,,0,,2.0,0
4ee0c52fd3e38ddb2afea856,5.8,0,,1.0,0
579a91b3498e9bd833afa78a,6.2,1,,1.0,1
4bb6b9446edc76b0d771311c,5.9,1,,1.0,0
4c61c478edd320a1835bab29,,1,,1.0,0
4ceaa2f0f8653704f906bec4,,5,,2.0,1
4b60878af964a520d9eb29e3,,2,,2.0,5
4b02dff3f964a520974a22e3,5.4,14,,2.0,11
4b6718c2f964a5203f3a2be3,6.2,10,,2.0,5
5233664111d21dea9ae2f38d,,0,,2.0,0
4c706524df6b8cfab244b84d,,1,,1.0,1
517dcdb6f1363b7a770a8424,,1,,2.0,1
528cf343498ef67bc25e2dcd,,0,,2.0,0
4d2c8332342d6dcbe82020cb,,1,,2.0,1
4f07d196e4b0882d227d64f8,,1,,2.0,2
5cb2183192e7a9002df9d035,,0,,2.0,0
53bafb4f498eb927faa3cd9e,7.5,37,,2.0,10
54131b6a498edd9b1ac1cc43,,0,,2.0,0
4b639286f964a5203c842ae3,6.4,11,,4.0,14
4b0aed06f964a520202a23e3,8.0,23,,2.0,25
54d4f204498eba09a5e6533b,,0,,2.0,0
4c23a463136d20a1958ae061,6.0,24,,1.0,17
4bd705e07b1876b0f16b8d86,6.2,8,,2.0,1
5b035a48491be7002c2f94e6,,0,,1.0,0
4fc3b034e4b045c5b604621e,,0,,2.0,0
4dd05e15ae603b786d5f1a34,,0,,2.0,1
4f917455e4b020a51d6fa241,,0,,2.0,0
5251c4460493a8ac9dec0bb7,,0,,2.0,0
4f949f04e4b03c10544badb2,,0,,1.0,0
4b7055c3f964a52086132de3,,3,,1.0,1
59aed342d3cce86105e820cb,,4,,1.0,2
4adc9148f964a520512d21e3,7.7,173,,2.0,114
5cb912203149b9002c58ee97,,0,,2.0,0
529d289311d2cd3e8473a6ab,,2,,2.0,2
5ac6f2d8356b4939a00ba8e0,,4,,,0
5cf43e873ba767002c95ce10,,0,,2.0,0
4bd884d2f645c9b60c23a8e0,,0,,2.0,7
4fca732be4b07c8e3e198c27,6.7,8,,2.0,3
4b776902f964a52094982ee3,,2,,2.0,3
4ca6206997c8a1cdd33b6da5,,1,,2.0,3
536fb093498e736d845b33d9,,2,,2.0,0
502bb2bde4b0190fdc74f62e,,0,,2.0,0
4e6f84aeb61c9ee80ac0e1ed,,0,,2.0,0
598734bf829b0c2095344a2b,,2,,2.0,0
5691aece498eff2f7e18ff66,,0,,2.0,0
51a8f217498e902d972c817e,,0,,2.0,0
59e3dc2c26659b77af55b973,,1,,2.0,1
5af7886b51950e002c3f32d8,,1,,1.0,1
52a1250a11d285bd7a3a5353,,4,,2.0,2
4cf58b4ec28df04d2f0bc615,,1,,2.0,3
4c3cfac14bc9a5934e72d371,,1,,2.0,2
5771bef7498eead2d02911d4,,1,,2.0,2
549718cd498ebb1019e069b3,,1,,2.0,1
59021d4666f3cd3ef4d5e114,7.2,9,,2.0,1
58c04865d70282604a8688e7,,4,,1.0,1
4bd89b8411dcc9289f07f733,,0,,2.0,0
4ca9230897c8a1cdce2d8ca5,,2,,1.0,3
4f18831be5e86217407242c1,,0,,1.0,2
51c106f7498e3becdb6c72e9,,0,,2.0,0
4bccf9bf511f9521ce0eb4c7,7.8,18,,2.0,15
506481cae4b01f36bfda395f,,0,,2.0,0
4e3c40a052b1a04aff07de79,,0,,1.0,0
5373d58e498ed9eb4bd4191c,,0,,2.0,1
4f452d7de4b0b62886684971,,2,,2.0,2
58a39cbf5e56b4730c7c27dd,,1,,1.0,0
5144bd4ee4b0111da15f48d1,,0,,2.0,0
4b046a62f964a520035422e3,5.8,10,,2.0,12
5686b77338faf7478eb6c6aa,6.5,13,,2.0,4
4b2d6fb4f964a520a5d624e3,6.8,58,,2.0,25
4b6315b6f964a520d6612ae3,7.2,9,,2.0,7
4aec790bf964a5208fc721e3,7.0,35,,2.0,32
4bdaff7463c5c9b67bcb2568,7.9,9,,2.0,8
4b632004f964a520d6642ae3,5.7,14,,2.0,13
52fd7d28498e9164b5ba53a2,5.8,14,,1.0,10
4c841690d92ea0930d355a72,,2,,2.0,2
4dbf46c41e72dd48b1ef56ef,,2,,1.0,2
